film_a,film_b,winner,timestamp
https://boxd.it/bCLK,https://boxd.it/gfnK,https://boxd.it/bCLK,2026-09-11T11:55:58.356494
https://boxd.it/DUHM,https://boxd.it/dGNE,https://boxd.it/dGNE,2026-09-11T11:56:00.124815
https://boxd.it/tNWU,https://boxd.it/2aeU,https://boxd.it/2aeU,2026-09-11T11:56:01.519230
https://boxd.it/1RYk,https://boxd.it/fAnE,https://boxd.it/1RYk,2026-09-11T11:56:27.919032
https://boxd.it/27B2,https://boxd.it/woVy,https://boxd.it/woVy,2026-09-11T11:56:29.376932
https://boxd.it/DUHM,https://boxd.it/aSVk,https://boxd.it/aSVk,2026-09-11T11:56:32.336738
https://boxd.it/eDGs,https://boxd.it/eOCm,https://boxd.it/eDGs,2026-09-11T12:12:20.414182
https://boxd.it/29FU,https://boxd.it/azpY,https://boxd.it/azpY,2026-09-11T12:12:22.876104
https://boxd.it/27Vw,https://boxd.it/29Js,https://boxd.it/29Js,2026-09-11T12:12:24.818930
https://boxd.it/DUHM,https://boxd.it/1RYk,https://boxd.it/1RYk,2026-09-11T12:12:26.602456
https://boxd.it/jhxe,https://boxd.it/DUHM,https://boxd.it/DUHM,2026-09-11T12:12:28.320029
https://boxd.it/gfnK,https://boxd.it/2aeU,https://boxd.it/2aeU,2026-09-11T12:12:29.530307
https://boxd.it/leq4,https://boxd.it/eDGs,https://boxd.it/eDGs,2026-09-11T12:12:32.145822
https://boxd.it/3C1m,https://boxd.it/27B2,https://boxd.it/3C1m,2026-09-11T12:12:33.708047
https://boxd.it/3C1m,https://boxd.it/QFQU,https://boxd.it/QFQU,2026-09-11T12:12:35.528170
https://boxd.it/2aqc,https://boxd.it/2aeU,https://boxd.it/2aeU,2026-09-11T12:12:37.098142
https://boxd.it/bCLK,https://boxd.it/2aqc,https://boxd.it/bCLK,2026-09-11T12:12:38.327013
https://boxd.it/1RYk,https://boxd.it/a5fa,https://boxd.it/a5fa,2026-09-11T12:12:39.607839
https://boxd.it/eDGs,https://boxd.it/QFQU,https://boxd.it/eDGs,2026-09-11T12:12:41.112036
https://boxd.it/yuDE,https://boxd.it/HIBA,https://boxd.it/yuDE,2026-09-11T12:12:44.978429
https://boxd.it/eDGs,https://boxd.it/29JC,https://boxd.it/eDGs,2026-09-11T12:12:46.571760
https://boxd.it/oBYa,https://boxd.it/cjr4,https://boxd.it/oBYa,2026-09-11T12:12:51.852138
https://boxd.it/27B2,https://boxd.it/eOCm,https://boxd.it/eOCm,2026-09-11T12:12:59.641355
https://boxd.it/dGNE,https://boxd.it/jhxe,https://boxd.it/dGNE,2026-09-11T12:13:01.428967
https://boxd.it/CjNG,https://boxd.it/HIBA,https://boxd.it/CjNG,2026-09-11T12:13:04.624470
https://boxd.it/2b0k,https://boxd.it/1RYk,https://boxd.it/2b0k,2026-09-11T12:13:07.897789
https://boxd.it/leq4,https://boxd.it/2a9q,https://boxd.it/2a9q,2026-09-11T12:13:09.602311
https://boxd.it/ajZw,https://boxd.it/27Vw,https://boxd.it/ajZw,2026-09-11T12:13:11.413036
https://boxd.it/2b0k,https://boxd.it/dGNE,https://boxd.it/dGNE,2026-09-11T12:34:50.737725
https://boxd.it/a5fa,https://boxd.it/2b0k,https://boxd.it/a5fa,2026-09-11T12:34:52.024544
https://boxd.it/297o,https://boxd.it/fAnE,https://boxd.it/fAnE,2026-09-11T12:34:55.323107
https://boxd.it/pEeQ,https://boxd.it/JY,https://boxd.it/JY,2026-09-11T12:34:58.677971
https://boxd.it/dzR0,https://boxd.it/2aHW,https://boxd.it/2aHW,2026-09-11T12:35:00.378492
https://boxd.it/eOCm,https://boxd.it/QFQU,https://boxd.it/eOCm,2026-09-11T12:35:02.867969
https://boxd.it/9vEe,https://boxd.it/hJAw,https://boxd.it/hJAw,2026-09-11T12:35:04.722140
https://boxd.it/QFQU,https://boxd.it/29JC,https://boxd.it/QFQU,2026-09-11T12:35:16.244344
https://boxd.it/b5EQ,https://boxd.it/8MHi,https://boxd.it/b5EQ,2026-09-11T12:35:19.664016
https://boxd.it/b5EQ,https://boxd.it/89Ja,https://boxd.it/b5EQ,2026-09-11T12:35:21.872434
https://boxd.it/fAnE,https://boxd.it/2b0k,https://boxd.it/2b0k,2026-09-11T12:35:24.385912
https://boxd.it/2b0k,https://boxd.it/DUHM,https://boxd.it/2b0k,2026-09-11T12:35:26.817468
https://boxd.it/tNWU,https://boxd.it/2aqc,https://boxd.it/2aqc,2026-09-11T12:35:32.177705
https://boxd.it/29JC,https://boxd.it/3C1m,https://boxd.it/29JC,2026-09-11T12:35:34.541754
https://boxd.it/jWEA,https://boxd.it/fA7G,https://boxd.it/jWEA,2026-09-11T12:35:36.460173
https://boxd.it/6hQu,https://boxd.it/27Vw,https://boxd.it/6hQu,2026-09-11T12:35:37.805499
https://boxd.it/dGNE,https://boxd.it/aSVk,https://boxd.it/dGNE,2026-09-11T12:35:41.142030
https://boxd.it/2aqc,https://boxd.it/gfnK,https://boxd.it/gfnK,2026-09-11T12:35:43.179911
https://boxd.it/2a1G,https://boxd.it/8MHs,https://boxd.it/8MHs,2026-09-11T12:35:45.471561
https://boxd.it/QFQU,https://boxd.it/2a9q,https://boxd.it/2a9q,2026-09-11T12:35:47.487605
https://boxd.it/3C1m,https://boxd.it/leq4,https://boxd.it/3C1m,2026-09-11T12:35:49.524677
https://boxd.it/Sw0,https://boxd.it/bCLK,https://boxd.it/bCLK,2026-09-11T12:35:51.374667
https://boxd.it/cjr4,https://boxd.it/89Ja,https://boxd.it/cjr4,2026-09-11T12:35:53.889861
https://boxd.it/27Vw,https://boxd.it/29Pq,https://boxd.it/29Pq,2026-09-11T12:35:56.928045
https://boxd.it/ioLA,https://boxd.it/8MHi,https://boxd.it/8MHi,2026-09-11T12:35:59.408671
https://boxd.it/azpY,https://boxd.it/1Tnq,https://boxd.it/1Tnq,2026-09-11T12:36:01.274338
https://boxd.it/29JC,https://boxd.it/2auI,https://boxd.it/29JC,2026-09-11T12:36:03.617354
https://boxd.it/2b0k,https://boxd.it/297o,https://boxd.it/2b0k,2026-09-11T12:36:05.695406
https://boxd.it/cjr4,https://boxd.it/b5EQ,https://boxd.it/b5EQ,2026-09-11T12:36:12.652459
https://boxd.it/8MHs,https://boxd.it/CjNG,https://boxd.it/CjNG,2026-09-11T12:36:14.400714
https://boxd.it/8MHs,https://boxd.it/nwRw,https://boxd.it/8MHs,2026-09-11T12:36:16.817473
https://boxd.it/2a9q,https://boxd.it/3C1m,https://boxd.it/2a9q,2026-09-11T12:36:21.412390
https://boxd.it/Sw0,https://boxd.it/gfnK,https://boxd.it/gfnK,2026-09-11T12:36:24.227892
https://boxd.it/29Qo,https://boxd.it/2a1G,https://boxd.it/29Qo,2026-09-11T12:36:27.801691
https://boxd.it/eaai,https://boxd.it/29Qo,https://boxd.it/eaai,2026-09-11T12:36:29.477701
https://boxd.it/28Vs,https://boxd.it/29Qo,https://boxd.it/28Vs,2026-09-11T12:36:30.991664
https://boxd.it/cjr4,https://boxd.it/dgSy,https://boxd.it/cjr4,2026-09-11T12:36:33.796066
https://boxd.it/6hQu,https://boxd.it/hJAw,https://boxd.it/hJAw,2026-09-11T12:36:37.568238
https://boxd.it/aboM,https://boxd.it/3sAw,https://boxd.it/3sAw,2026-09-11T12:36:40.585220
https://boxd.it/hJAw,https://boxd.it/ioLA,https://boxd.it/hJAw,2026-09-11T12:36:41.873949
https://boxd.it/eOCm,https://boxd.it/29JC,https://boxd.it/eOCm,2026-09-11T12:36:48.436640
https://boxd.it/7bQA,https://boxd.it/jWEA,https://boxd.it/7bQA,2026-09-11T12:36:50.128633
https://boxd.it/2auI,https://boxd.it/eDGs,https://boxd.it/eDGs,2026-09-11T12:37:01.859334
https://boxd.it/cjr4,https://boxd.it/15gO,https://boxd.it/cjr4,2026-09-11T12:37:23.820426
https://boxd.it/eOCm,https://boxd.it/3C1m,https://boxd.it/eOCm,2026-09-11T12:37:25.650329
https://boxd.it/6hQu,https://boxd.it/8MHs,https://boxd.it/6hQu,2026-09-11T12:37:27.604268
https://boxd.it/3C1m,https://boxd.it/2aSg,https://boxd.it/3C1m,2026-09-11T12:37:30.093479
https://boxd.it/29Qo,https://boxd.it/CjNG,https://boxd.it/CjNG,2026-09-11T12:37:31.454717
https://boxd.it/yuDE,https://boxd.it/23AO,https://boxd.it/23AO,2026-09-11T12:37:33.075312
https://boxd.it/27B2,https://boxd.it/QFQU,https://boxd.it/QFQU,2026-09-11T12:37:34.951007
https://boxd.it/CjNG,https://boxd.it/1skk,https://boxd.it/CjNG,2026-09-11T12:37:38.138478
https://boxd.it/azpY,https://boxd.it/8MHs,https://boxd.it/8MHs,2026-09-11T12:37:40.050238
https://boxd.it/cjr4,https://boxd.it/8MHs,https://boxd.it/cjr4,2026-09-11T12:37:41.607791
https://boxd.it/ajZw,https://boxd.it/1skk,https://boxd.it/1skk,2026-09-11T12:37:43.084657
https://boxd.it/h4cS,https://boxd.it/kLDI,https://boxd.it/h4cS,2026-09-11T12:37:44.905287
https://boxd.it/yuDE,https://boxd.it/2a1G,https://boxd.it/yuDE,2026-09-11T12:37:46.406462
https://boxd.it/cjr4,https://boxd.it/29FU,https://boxd.it/cjr4,2026-09-11T12:37:48.278916
https://boxd.it/CjNG,https://boxd.it/h4cS,https://boxd.it/CjNG,2026-09-11T12:37:50.119634
https://boxd.it/2aHW,https://boxd.it/1RYu,https://boxd.it/2aHW,2026-09-11T12:38:18.568776
https://boxd.it/29Js,https://boxd.it/1RYu,https://boxd.it/1RYu,2026-09-11T12:38:21.026247
https://boxd.it/hJAw,https://boxd.it/8MHi,https://boxd.it/hJAw,2026-09-11T12:38:22.650505
https://boxd.it/QFQU,https://boxd.it/2aSg,https://boxd.it/QFQU,2026-09-11T12:38:24.483461
https://boxd.it/nwRw,https://boxd.it/15gO,https://boxd.it/nwRw,2026-09-11T12:38:26.066712
https://boxd.it/eOCm,https://boxd.it/woVy,https://boxd.it/woVy,2026-09-11T12:38:28.777479
https://boxd.it/2aRs,https://boxd.it/JY,https://boxd.it/JY,2026-09-11T12:38:30.907404
https://boxd.it/2a9q,https://boxd.it/2auI,https://boxd.it/2a9q,2026-09-11T12:38:32.830195
https://boxd.it/yuDE,https://boxd.it/dgSy,https://boxd.it/dgSy,2026-09-11T12:38:35.650424
https://boxd.it/29JC,https://boxd.it/2aSg,https://boxd.it/2aSg,2026-09-11T12:38:38.941957
https://boxd.it/HIBA,https://boxd.it/2a1G,https://boxd.it/HIBA,2026-09-11T12:38:41.787911
https://boxd.it/HIBA,https://boxd.it/pEeQ,https://boxd.it/pEeQ,2026-09-11T12:38:43.510796
https://boxd.it/tNWU,https://boxd.it/gfnK,https://boxd.it/gfnK,2026-09-11T12:38:51.875247
https://boxd.it/uAKS,https://boxd.it/27Vw,https://boxd.it/uAKS,2026-09-11T12:38:53.166235
https://boxd.it/1skk,https://boxd.it/3sAw,https://boxd.it/1skk,2026-09-11T12:38:55.524733
https://boxd.it/2aHW,https://boxd.it/fA7G,https://boxd.it/2aHW,2026-09-11T12:38:56.741839
https://boxd.it/2b0k,https://boxd.it/aSVk,https://boxd.it/2b0k,2026-09-11T12:39:01.976937
https://boxd.it/yuDE,https://boxd.it/29Qo,https://boxd.it/yuDE,2026-09-11T12:39:03.799719
https://boxd.it/27Vw,https://boxd.it/pEeQ,https://boxd.it/pEeQ,2026-09-11T12:39:05.604192
https://boxd.it/17ue,https://boxd.it/cjr4,https://boxd.it/17ue,2026-09-11T12:39:07.239168
https://boxd.it/28Vs,https://boxd.it/1skk,https://boxd.it/28Vs,2026-09-11T12:39:09.255498
https://boxd.it/89Ja,https://boxd.it/CjNG,https://boxd.it/CjNG,2026-09-11T12:39:10.670080
https://boxd.it/Sw0,https://boxd.it/2aqc,https://boxd.it/Sw0,2026-09-11T13:16:37.253141
https://boxd.it/kmvE,https://boxd.it/bCLK,https://boxd.it/bCLK,2026-09-11T13:16:41.462086
https://boxd.it/27B2,https://boxd.it/leq4,https://boxd.it/leq4,2026-09-11T13:16:46.429766
https://boxd.it/3sAw,https://boxd.it/yuDE,https://boxd.it/3sAw,2026-09-11T13:16:48.894961
https://boxd.it/kmvE,https://boxd.it/2aqc,https://boxd.it/2aqc,2026-09-11T13:16:50.143993
https://boxd.it/2b0k,https://boxd.it/xTmc,https://boxd.it/2b0k,2026-09-11T13:16:51.461280
https://boxd.it/fA7G,https://boxd.it/7bQA,https://boxd.it/7bQA,2026-09-11T13:16:53.543673
https://boxd.it/leq4,https://boxd.it/woVy,https://boxd.it/woVy,2026-09-11T13:16:59.796023
https://boxd.it/cjr4,https://boxd.it/fA7G,https://boxd.it/cjr4,2026-09-11T13:19:31.511190
https://boxd.it/1Tnq,https://boxd.it/jWEA,https://boxd.it/jWEA,2026-09-11T13:19:34.050098
https://boxd.it/2uds,https://boxd.it/29FU,https://boxd.it/2uds,2026-09-11T13:19:36.698429
https://boxd.it/ioLA,https://boxd.it/28Vs,https://boxd.it/28Vs,2026-09-11T13:19:38.032637
